fromDateTime,tillDateTime,parameter,value
2025-07-01T14:43:39.613Z,2025-07-01T15:43:39.613Z,PM1,0.28
2025-07-01T14:43:39.613Z,2025-07-01T15:43:39.613Z,PM25,0.52
2025-07-01T14:43:39.613Z,2025-07-01T15:43:39.613Z,PM10,0.87
2025-07-01T14:43:39.613Z,2025-07-01T15:43:39.613Z,PRESSURE,1018.62
2025-07-01T14:43:39.613Z,2025-07-01T15:43:39.613Z,HUMIDITY,36.81
2025-07-01T14:43:39.613Z,2025-07-01T15:43:39.613Z,TEMPERATURE,24.35
2025-06-30T15:00:00.000Z,2025-06-30T16:00:00.000Z,PM1,1.65
2025-06-30T15:00:00.000Z,2025-06-30T16:00:00.000Z,PM25,2.5
2025-06-30T15:00:00.000Z,2025-06-30T16:00:00.000Z,PM10,3.84
2025-06-30T15:00:00.000Z,2025-06-30T16:00:00.000Z,PRESSURE,1016.78
2025-06-30T15:00:00.000Z,2025-06-30T16:00:00.000Z,HUMIDITY,39.7
2025-06-30T15:00:00.000Z,2025-06-30T16:00:00.000Z,TEMPERATURE,23.57
2025-06-30T16:00:00.000Z,2025-06-30T17:00:00.000Z,PM1,1.86
2025-06-30T16:00:00.000Z,2025-06-30T17:00:00.000Z,PM25,2.8
2025-06-30T16:00:00.000Z,2025-06-30T17:00:00.000Z,PM10,4.31
2025-06-30T16:00:00.000Z,2025-06-30T17:00:00.000Z,PRESSURE,1016.61
2025-06-30T16:00:00.000Z,2025-06-30T17:00:00.000Z,HUMIDITY,42.28
2025-06-30T16:00:00.000Z,2025-06-30T17:00:00.000Z,TEMPERATURE,23.21
2025-06-30T17:00:00.000Z,2025-06-30T18:00:00.000Z,PM1,1.87
2025-06-30T17:00:00.000Z,2025-06-30T18:00:00.000Z,PM25,2.75
2025-06-30T17:00:00.000Z,2025-06-30T18:00:00.000Z,PM10,4.32
2025-06-30T17:00:00.000Z,2025-06-30T18:00:00.000Z,PRESSURE,1016.59
2025-06-30T17:00:00.000Z,2025-06-30T18:00:00.000Z,HUMIDITY,46.22
2025-06-30T17:00:00.000Z,2025-06-30T18:00:00.000Z,TEMPERATURE,22.33
2025-06-30T18:00:00.000Z,2025-06-30T19:00:00.000Z,PM1,2.6
