fromDateTime,tillDateTime,parameter,value
2025-06-30T18:00:00.000Z,2025-06-30T19:00:00.000Z,PM25,3.7
2025-06-30T18:00:00.000Z,2025-06-30T19:00:00.000Z,PM10,5.58
2025-06-30T18:00:00.000Z,2025-06-30T19:00:00.000Z,PRESSURE,1016.85
2025-06-30T18:00:00.000Z,2025-06-30T19:00:00.000Z,HUMIDITY,52.55
2025-06-30T18:00:00.000Z,2025-06-30T19:00:00.000Z,TEMPERATURE,20.82
2025-06-30T19:00:00.000Z,2025-06-30T20:00:00.000Z,PM1,3.84
2025-06-30T19:00:00.000Z,2025-06-30T20:00:00.000Z,PM25,5.35
2025-06-30T19:00:00.000Z,2025-06-30T20:00:00.000Z,PM10,7.92
2025-06-30T19:00:00.000Z,2025-06-30T20:00:00.000Z,PRESSURE,1017.65
2025-06-30T19:00:00.000Z,2025-06-30T20:00:00.000Z,HUMIDITY,57.39
2025-06-30T19:00:00.000Z,2025-06-30T20:00:00.000Z,TEMPERATURE,19.58
2025-06-30T20:00:00.000Z,2025-06-30T21:00:00.000Z,PM1,4.64
2025-06-30T20:00:00.000Z,2025-06-30T21:00:00.000Z,PM25,6.39
2025-06-30T20:00:00.000Z,2025-06-30T21:00:00.000Z,PM10,9.25
2025-06-30T20:00:00.000Z,2025-06-30T21:00:00.000Z,PRESSURE,1018.19
2025-06-30T20:00:00.000Z,2025-06-30T21:00:00.000Z,HUMIDITY,62.0
2025-06-30T20:00:00.000Z,2025-06-30T21:00:00.000Z,TEMPERATURE,18.47
2025-06-30T21:00:00.000Z,2025-06-30T22:00:00.000Z,PM1,5.26
2025-06-30T21:00:00.000Z,2025-06-30T22:00:00.000Z,PM25,7.11
2025-06-30T21:00:00.000Z,2025-06-30T22:00:00.000Z,PM10,10.33
2025-06-30T21:00:00.000Z,2025-06-30T22:00:00.000Z,PRESSURE,1018.49
2025-06-30T21:00:00.000Z,2025-06-30T22:00:00.000Z,HUMIDITY,67.38
2025-06-30T21:00:00.000Z,2025-06-30T22:00:00.000Z,TEMPERATURE,17.33
2025-06-30T22:00:00.000Z,2025-06-30T23:00:00.000Z,PM1,4.83
2025-06-30T22:00:00.000Z,2025-06-30T23:00:00.000Z,PM25,6.76
2025-06-30T22:00:00.000Z,2025-06-30T23:00:00.000Z,PM10,9.77
2025-06-30T22:00:00.000Z,2025-06-30T23:00:00.000Z,PRESSURE,1018.96
2025-06-30T22:00:00.000Z,2025-06-30T23:00:00.000Z,HUMIDITY,71.78
2025-06-30T22:00:00.000Z,2025-06-30T23:00:00.000Z,TEMPERATURE,16.32
2025-06-30T23:00:00.000Z,2025-07-01T00:00:00.000Z,PM1,4.62
2025-06-30T23:00:00.000Z,2025-07-01T00:00:00.000Z,PM25,6.69
2025-06-30T23:00:00.000Z,2025-07-01T00:00:00.000Z,PM10,9.79
2025-06-30T23:00:00.000Z,2025-07-01T00:00:00.000Z,PRESSURE,1019.22
2025-06-30T23:00:00.000Z,2025-07-01T00:00:00.000Z,HUMIDITY,75.32
2025-06-30T23:00:00.000Z,2025-07-01T00:00:00.000Z,TEMPERATURE,15.42
2025-07-01T00:00:00.000Z,2025-07-01T01:00:00.000Z,PM1,3.62
2025-07-01T00:00:00.000Z,2025-07-01T01:00:00.000Z,PM25,5.13
2025-07-01T00:00:00.000Z,2025-07-01T01:00:00.000Z,PM10,7.71
2025-07-01T00:00:00.000Z,2025-07-01T01:00:00.000Z,PRESSURE,1019.64
2025-07-01T00:00:00.000Z,2025-07-01T01:00:00.000Z,HUMIDITY,77.18
2025-07-01T00:00:00.000Z,2025-07-01T01:00:00.000Z,TEMPERATURE,15.02
2025-07-01T01:00:00.000Z,2025-07-01T02:00:00.000Z,PM1,2.51
2025-07-01T01:00:00.000Z,2025-07-01T02:00:00.000Z,PM25,3.59
2025-07-01T01:00:00.000Z,2025-07-01T02:00:00.000Z,PM10,5.4
2025-07-01T01:00:00.000Z,2025-07-01T02:00:00.000Z,PRESSURE,1020.05
2025-07-01T01:00:00.000Z,2025-07-01T02:00:00.000Z,HUMIDITY,78.45
2025-07-01T01:00:00.000Z,2025-07-01T02:00:00.000Z,TEMPERATURE,14.65
2025-07-01T02:00:00.000Z,2025-07-01T03:00:00.000Z,PM1,1.69
2025-07-01T02:00:00.000Z,2025-07-01T03:00:00.000Z,PM25,2.46
2025-07-01T02:00:00.000Z,2025-07-01T03:00:00.000Z,PM10,3.69
2025-07-01T02:00:00.000Z,2025-07-01T03:00:00.000Z,PRESSURE,1020.41
2025-07-01T02:00:00.000Z,2025-07-01T03:00:00.000Z,HUMIDITY,78.9
2025-07-01T02:00:00.000Z,2025-07-01T03:00:00.000Z,TEMPERATURE,14.35
2025-07-01T03:00:00.000Z,2025-07-01T04:00:00.000Z,PM1,1.0
2025-07-01T03:00:00.000Z,2025-07-01T04:00:00.000Z,PM25,1.53
2025-07-01T03:00:00.000Z,2025-07-01T04:00:00.000Z,PM10,2.36
2025-07-01T03:00:00.000Z,2025-07-01T04:00:00.000Z,PRESSURE,1020.55
2025-07-01T03:00:00.000Z,2025-07-01T04:00:00.000Z,HUMIDITY,77.93
2025-07-01T03:00:00.000Z,2025-07-01T04:00:00.000Z,TEMPERATURE,14.05
2025-07-01T04:00:00.000Z,2025-07-01T05:00:00.000Z,PM1,0.54
2025-07-01T04:00:00.000Z,2025-07-01T05:00:00.000Z,PM25,0.93
2025-07-01T04:00:00.000Z,2025-07-01T05:00:00.000Z,PM10,1.5
2025-07-01T04:00:00.000Z,2025-07-01T05:00:00.000Z,PRESSURE,1020.57
2025-07-01T04:00:00.000Z,2025-07-01T05:00:00.000Z,HUMIDITY,74.23
2025-07-01T04:00:00.000Z,2025-07-01T05:00:00.000Z,TEMPERATURE,14.24
2025-07-01T05:00:00.000Z,2025-07-01T06:00:00.000Z,PM1,0.41
2025-07-01T05:00:00.000Z,2025-07-01T06:00:00.000Z,PM25,0.76
2025-07-01T05:00:00.000Z,2025-07-01T06:00:00.000Z,PM10,1.23
2025-07-01T05:00:00.000Z,2025-07-01T06:00:00.000Z,PRESSURE,1020.65
2025-07-01T05:00:00.000Z,2025-07-01T06:00:00.000Z,HUMIDITY,67.81
2025-07-01T05:00:00.000Z,2025-07-01T06:00:00.000Z,TEMPERATURE,15.64
2025-07-01T06:00:00.000Z,2025-07-01T07:00:00.000Z,PM1,0.61
2025-07-01T06:00:00.000Z,2025-07-01T07:00:00.000Z,PM25,1.18
2025-07-01T06:00:00.000Z,2025-07-01T07:00:00.000Z,PM10,1.91
2025-07-01T06:00:00.000Z,2025-07-01T07:00:00.000Z,PRESSURE,1020.59
2025-07-01T06:00:00.000Z,2025-07-01T07:00:00.000Z,HUMIDITY,61.5
2025-07-01T06:00:00.000Z,2025-07-01T07:00:00.000Z,TEMPERATURE,17.11
2025-07-01T07:00:00.000Z,2025-07-01T08:00:00.000Z,PM1,0.4
2025-07-01T07:00:00.000Z,2025-07-01T08:00:00.000Z,PM25,0.79
2025-07-01T07:00:00.000Z,2025-07-01T08:00:00.000Z,PM10,1.33
2025-07-01T07:00:00.000Z,2025-07-01T08:00:00.000Z,PRESSURE,1020.59
2025-07-01T07:00:00.000Z,2025-07-01T08:00:00.000Z,HUMIDITY,55.72
2025-07-01T07:00:00.000Z,2025-07-01T08:00:00.000Z,TEMPERATURE,18.92
2025-07-01T08:00:00.000Z,2025-07-01T09:00:00.000Z,PM1,0.22
2025-07-01T08:00:00.000Z,2025-07-01T09:00:00.000Z,PM25,0.49
2025-07-01T08:00:00.000Z,2025-07-01T09:00:00.000Z,PM10,0.78
2025-07-01T08:00:00.000Z,2025-07-01T09:00:00.000Z,PRESSURE,1020.47
2025-07-01T08:00:00.000Z,2025-07-01T09:00:00.000Z,HUMIDITY,50.26
2025-07-01T08:00:00.000Z,2025-07-01T09:00:00.000Z,TEMPERATURE,20.87
2025-07-01T09:00:00.000Z,2025-07-01T10:00:00.000Z,PM1,0.38
2025-07-01T09:00:00.000Z,2025-07-01T10:00:00.000Z,PM25,0.8
2025-07-01T09:00:00.000Z,2025-07-01T10:00:00.000Z,PM10,1.33
2025-07-01T09:00:00.000Z,2025-07-01T10:00:00.000Z,PRESSURE,1020.34
2025-07-01T09:00:00.000Z,2025-07-01T10:00:00.000Z,HUMIDITY,46.39
2025-07-01T09:00:00.000Z,2025-07-01T10:00:00.000Z,TEMPERATURE,22.09
2025-07-01T10:00:00.000Z,2025-07-01T11:00:00.000Z,PM1,0.69
2025-07-01T10:00:00.000Z,2025-07-01T11:00:00.000Z,PM25,1.29
2025-07-01T10:00:00.000Z,2025-07-01T11:00:00.000Z,PM10,2.03
2025-07-01T10:00:00.000Z,2025-07-01T11:00:00.000Z,PRESSURE,1020.05
2025-07-01T10:00:00.000Z,2025-07-01T11:00:00.000Z,HUMIDITY,42.88
2025-07-01T10:00:00.000Z,2025-07-01T11:00:00.000Z,TEMPERATURE,22.88
2025-07-01T11:00:00.000Z,2025-07-01T12:00:00.000Z,PM1,0.09
2025-07-01T11:00:00.000Z,2025-07-01T12:00:00.000Z,PM25,0.23
2025-07-01T11:00:00.000Z,2025-07-01T12:00:00.000Z,PM10,0.43
2025-07-01T11:00:00.000Z,2025-07-01T12:00:00.000Z,PRESSURE,1019.66
2025-07-01T11:00:00.000Z,2025-07-01T12:00:00.000Z,HUMIDITY,40.39
2025-07-01T11:00:00.000Z,2025-07-01T12:00:00.000Z,TEMPERATURE,23.05
2025-07-01T12:00:00.000Z,2025-07-01T13:00:00.000Z,PM1,0.22
2025-07-01T12:00:00.000Z,2025-07-01T13:00:00.000Z,PM25,0.46
2025-07-01T12:00:00.000Z,2025-07-01T13:00:00.000Z,PM10,0.76
2025-07-01T12:00:00.000Z,2025-07-01T13:00:00.000Z,PRESSURE,1019.29
2025-07-01T12:00:00.000Z,2025-07-01T13:00:00.000Z,HUMIDITY,38.43
2025-07-01T12:00:00.000Z,2025-07-01T13:00:00.000Z,TEMPERATURE,23.56
2025-07-01T13:00:00.000Z,2025-07-01T14:00:00.000Z,PM1,0.08
2025-07-01T13:00:00.000Z,2025-07-01T14:00:00.000Z,PM25,0.27
2025-07-01T13:00:00.000Z,2025-07-01T14:00:00.000Z,PM10,0.51
2025-07-01T13:00:00.000Z,2025-07-01T14:00:00.000Z,PRESSURE,1019.02
2025-07-01T13:00:00.000Z,2025-07-01T14:00:00.000Z,HUMIDITY,37.21
2025-07-01T13:00:00.000Z,2025-07-01T14:00:00.000Z,TEMPERATURE,23.89
2025-07-01T14:00:00.000Z,2025-07-01T15:00:00.000Z,PM1,0.23
2025-07-01T14:00:00.000Z,2025-07-01T15:00:00.000Z,PM25,0.5
2025-07-01T14:00:00.000Z,2025-07-01T15:00:00.000Z,PM10,0.85
2025-07-01T14:00:00.000Z,2025-07-01T15:00:00.000Z,PRESSURE,1018.79
2025-07-01T14:00:00.000Z,2025-07-01T15:00:00.000Z,HUMIDITY,36.51
2025-07-01T14:00:00.000Z,2025-07-01T15:00:00.000Z,TEMPERATURE,24.27
