fromDateTime,tillDateTime,parameter,value
2025-07-02T04:00:00.000Z,2025-07-02T05:00:00.000Z,PRESSURE,1020.06
2025-07-02T04:00:00.000Z,2025-07-02T05:00:00.000Z,HUMIDITY,71.28
2025-07-02T04:00:00.000Z,2025-07-02T05:00:00.000Z,TEMPERATURE,15.59
2025-07-02T05:00:00.000Z,2025-07-02T06:00:00.000Z,PM1,3.65
2025-07-02T05:00:00.000Z,2025-07-02T06:00:00.000Z,PM25,5.15
2025-07-02T05:00:00.000Z,2025-07-02T06:00:00.000Z,PM10,7.72
2025-07-02T05:00:00.000Z,2025-07-02T06:00:00.000Z,PRESSURE,1019.96
2025-07-02T05:00:00.000Z,2025-07-02T06:00:00.000Z,HUMIDITY,66.3
2025-07-02T05:00:00.000Z,2025-07-02T06:00:00.000Z,TEMPERATURE,17.55
2025-07-02T06:00:00.000Z,2025-07-02T07:00:00.000Z,PM1,3.67
2025-07-02T06:00:00.000Z,2025-07-02T07:00:00.000Z,PM25,5.09
2025-07-02T06:00:00.000Z,2025-07-02T07:00:00.000Z,PM10,7.59
2025-07-02T06:00:00.000Z,2025-07-02T07:00:00.000Z,PRESSURE,1019.75
2025-07-02T06:00:00.000Z,2025-07-02T07:00:00.000Z,HUMIDITY,56.64
2025-07-02T06:00:00.000Z,2025-07-02T07:00:00.000Z,TEMPERATURE,20.6
2025-07-02T07:00:00.000Z,2025-07-02T08:00:00.000Z,PM1,2.57
2025-07-02T07:00:00.000Z,2025-07-02T08:00:00.000Z,PM25,3.64
2025-07-02T07:00:00.000Z,2025-07-02T08:00:00.000Z,PM10,5.44
2025-07-02T07:00:00.000Z,2025-07-02T08:00:00.000Z,PRESSURE,1019.69
2025-07-02T07:00:00.000Z,2025-07-02T08:00:00.000Z,HUMIDITY,50.14
2025-07-02T07:00:00.000Z,2025-07-02T08:00:00.000Z,TEMPERATURE,23.15
2025-07-02T08:00:00.000Z,2025-07-02T09:00:00.000Z,PM1,1.29
2025-07-02T08:00:00.000Z,2025-07-02T09:00:00.000Z,PM25,1.87
2025-07-02T08:00:00.000Z,2025-07-02T09:00:00.000Z,PM10,2.81
2025-07-02T08:00:00.000Z,2025-07-02T09:00:00.000Z,PRESSURE,1019.49
2025-07-02T08:00:00.000Z,2025-07-02T09:00:00.000Z,HUMIDITY,45.05
2025-07-02T08:00:00.000Z,2025-07-02T09:00:00.000Z,TEMPERATURE,25.63
2025-07-02T09:00:00.000Z,2025-07-02T10:00:00.000Z,PM1,1.46
2025-07-02T09:00:00.000Z,2025-07-02T10:00:00.000Z,PM25,2.22
2025-07-02T09:00:00.000Z,2025-07-02T10:00:00.000Z,PM10,3.4
2025-07-02T09:00:00.000Z,2025-07-02T10:00:00.000Z,PRESSURE,1019.36
2025-07-02T09:00:00.000Z,2025-07-02T10:00:00.000Z,HUMIDITY,41.33
2025-07-02T09:00:00.000Z,2025-07-02T10:00:00.000Z,TEMPERATURE,26.68
2025-07-02T10:00:00.000Z,2025-07-02T11:00:00.000Z,PM1,1.58
2025-07-02T10:00:00.000Z,2025-07-02T11:00:00.000Z,PM25,2.31
2025-07-02T10:00:00.000Z,2025-07-02T11:00:00.000Z,PM10,3.5
2025-07-02T10:00:00.000Z,2025-07-02T11:00:00.000Z,PRESSURE,1019.0
2025-07-02T10:00:00.000Z,2025-07-02T11:00:00.000Z,HUMIDITY,37.64
2025-07-02T10:00:00.000Z,2025-07-02T11:00:00.000Z,TEMPERATURE,27.28
2025-07-02T11:00:00.000Z,2025-07-02T12:00:00.000Z,PM1,1.32
2025-07-02T11:00:00.000Z,2025-07-02T12:00:00.000Z,PM25,1.86
2025-07-02T11:00:00.000Z,2025-07-02T12:00:00.000Z,PM10,2.79
2025-07-02T11:00:00.000Z,2025-07-02T12:00:00.000Z,PRESSURE,1018.6
2025-07-02T11:00:00.000Z,2025-07-02T12:00:00.000Z,HUMIDITY,35.55
2025-07-02T11:00:00.000Z,2025-07-02T12:00:00.000Z,TEMPERATURE,27.36
2025-07-02T12:00:00.000Z,2025-07-02T13:00:00.000Z,PM1,1.38
2025-07-02T12:00:00.000Z,2025-07-02T13:00:00.000Z,PM25,1.89
2025-07-02T12:00:00.000Z,2025-07-02T13:00:00.000Z,PM10,2.8
2025-07-02T12:00:00.000Z,2025-07-02T13:00:00.000Z,PRESSURE,1018.29
2025-07-02T12:00:00.000Z,2025-07-02T13:00:00.000Z,HUMIDITY,34.73
2025-07-02T12:00:00.000Z,2025-07-02T13:00:00.000Z,TEMPERATURE,27.5
2025-07-02T13:00:00.000Z,2025-07-02T14:00:00.000Z,PM1,1.49
2025-07-02T13:00:00.000Z,2025-07-02T14:00:00.000Z,PM25,1.99
2025-07-02T13:00:00.000Z,2025-07-02T14:00:00.000Z,PM10,3.01
2025-07-02T13:00:00.000Z,2025-07-02T14:00:00.000Z,PRESSURE,1017.87
2025-07-02T13:00:00.000Z,2025-07-02T14:00:00.000Z,HUMIDITY,33.52
2025-07-02T13:00:00.000Z,2025-07-02T14:00:00.000Z,TEMPERATURE,28.08
