time,temperature_2m,relative_humidity_2m,windspeed_10m
2025-07-02T17:00,30.3,24,5.8
2025-07-02T18:00,29.7,26,6.8
2025-07-02T19:00,28.6,30,7.9
2025-07-02T20:00,27.3,34,8.0
2025-07-02T21:00,25.7,39,6.8
2025-07-02T22:00,23.9,44,5.9
2025-07-02T23:00,22.2,50,5.3
2025-07-03T00:00,20.9,56,5.1
2025-07-03T01:00,19.6,62,4.7
2025-07-03T02:00,18.7,67,5.0
2025-07-03T03:00,17.9,70,5.3
2025-07-03T04:00,17.3,71,5.8
2025-07-03T05:00,17.6,70,5.5
2025-07-03T06:00,19.4,66,4.9
2025-07-03T07:00,22.0,59,3.8
2025-07-03T08:00,24.6,51,3.6
2025-07-03T09:00,27.0,42,4.2
2025-07-03T10:00,29.5,33,5.5
2025-07-03T11:00,31.4,26,6.9
2025-07-03T12:00,32.6,22,8.6
2025-07-03T13:00,33.3,20,10.8
2025-07-03T14:00,33.8,19,12.2
2025-07-03T15:00,34.1,19,12.9
2025-07-03T16:00,34.1,19,12.9
2025-07-03T17:00,33.7,21,12.8
2025-07-03T18:00,32.8,24,12.4
2025-07-03T19:00,31.6,28,13.0
2025-07-03T20:00,30.2,31,13.3
2025-07-03T21:00,28.9,34,11.1
2025-07-03T22:00,27.4,36,8.2
2025-07-03T23:00,26.0,38,7.0
2025-07-04T00:00,25.0,41,7.6
2025-07-04T01:00,24.0,43,9.0
2025-07-04T02:00,23.2,46,9.4
2025-07-04T03:00,22.5,49,7.5
2025-07-04T04:00,21.9,51,4.8
2025-07-04T05:00,21.6,53,3.7
2025-07-04T06:00,21.9,54,4.3
2025-07-04T07:00,22.5,54,5.8
2025-07-04T08:00,23.2,53,7.3
2025-07-04T09:00,24.3,49,8.2
2025-07-04T10:00,25.5,42,8.8
2025-07-04T11:00,26.5,38,9.6
2025-07-04T12:00,27.4,37,10.5
2025-07-04T13:00,28.0,37,11.7
2025-07-04T14:00,28.0,38,13.0
2025-07-04T15:00,26.6,40,14.1
2025-07-04T16:00,24.5,43,15.2
2025-07-04T17:00,23.0,45,15.2
2025-07-04T18:00,22.4,47,14.1
2025-07-04T19:00,22.3,48,12.3
2025-07-04T20:00,22.0,48,10.2
2025-07-04T21:00,21.5,48,8.2
2025-07-04T22:00,20.7,46,6.9
2025-07-04T23:00,20.1,45,6.9
2025-07-05T00:00,19.9,43,7.0
2025-07-05T01:00,19.9,41,6.5
2025-07-05T02:00,19.8,40,6.8
2025-07-05T03:00,19.8,41,7.8
2025-07-05T04:00,19.7,42,8.8
2025-07-05T05:00,19.6,44,9.9
2025-07-05T06:00,19.7,46,11.0
2025-07-05T07:00,19.8,48,11.8
2025-07-05T08:00,19.8,51,12.2
2025-07-05T09:00,19.8,54,12.3
2025-07-05T10:00,19.7,58,12.2
2025-07-05T11:00,19.6,61,12.0
2025-07-05T12:00,19.6,64,11.4
2025-07-05T13:00,19.6,68,11.1
2025-07-05T14:00,19.8,69,10.7
2025-07-05T15:00,20.2,68,10.3
2025-07-05T16:00,20.8,65,9.7
2025-07-05T17:00,21.2,62,9.2
2025-07-05T18:00,21.7,60,8.8
2025-07-05T19:00,22.1,58,8.0
2025-07-05T20:00,22.1,58,7.5
2025-07-05T21:00,21.7,62,6.9
2025-07-05T22:00,20.9,68,5.9
2025-07-05T23:00,20.0,75,5.6
