time,temperature_2m,relative_humidity_2m,windspeed_10m
2025-07-20T00:00,20.6,75,7.2
2025-07-20T01:00,19.6,77,7.9
2025-07-20T02:00,18.9,81,4.0
2025-07-20T03:00,18.4,81,8.3
2025-07-20T04:00,17.9,79,6.8
2025-07-20T05:00,17.4,81,8.6
2025-07-20T06:00,17.7,79,9.7
2025-07-20T07:00,19.1,73,9.7
2025-07-20T08:00,20.8,67,10.1
2025-07-20T09:00,21.7,68,10.1
2025-07-20T10:00,23.9,63,11.9
2025-07-20T11:00,25.1,60,13.0
2025-07-20T12:00,25.8,57,14.8
2025-07-20T13:00,25.8,59,13.0
2025-07-20T14:00,25.6,58,11.9
2025-07-20T15:00,27.9,47,13.0
2025-07-20T16:00,28.6,44,13.7
2025-07-20T17:00,28.5,45,11.2
2025-07-20T18:00,28.3,46,11.2
2025-07-20T19:00,27.6,49,7.6
2025-07-20T20:00,26.8,53,6.8
2025-07-20T21:00,25.7,58,6.5
2025-07-20T22:00,24.4,65,6.5
2025-07-20T23:00,23.2,70,5.4
2025-07-21T00:00,22.3,76,4.3
2025-07-21T01:00,22.4,74,4.0
2025-07-21T02:00,21.6,76,4.0
2025-07-21T03:00,20.7,78,2.9
2025-07-21T04:00,20.1,79,2.9
2025-07-21T05:00,19.8,78,1.8
2025-07-21T06:00,20.2,78,2.5
2025-07-21T07:00,22.2,68,3.6
2025-07-21T08:00,24.0,59,4.0
2025-07-21T09:00,25.9,54,5.0
2025-07-21T10:00,27.7,48,5.4
2025-07-21T11:00,29.4,42,5.4
2025-07-21T12:00,30.8,37,5.0
2025-07-21T13:00,31.8,35,4.7
2025-07-21T14:00,32.4,34,7.2
2025-07-21T15:00,32.9,32,9.0
2025-07-21T16:00,32.8,33,12.2
2025-07-21T17:00,32.4,36,13.3
2025-07-21T18:00,31.5,40,15.5
2025-07-21T19:00,30.3,44,16.6
2025-07-21T20:00,29.3,49,15.8
2025-07-21T21:00,28.4,55,14.4
2025-07-21T22:00,28.1,53,10.8
2025-07-21T23:00,23.6,70,24.1
2025-07-22T00:00,21.9,78,9.0
2025-07-22T01:00,21.2,82,13.0
2025-07-22T02:00,20.3,88,18.4
2025-07-22T03:00,19.4,84,18.4
2025-07-22T04:00,18.5,81,19.8
2025-07-22T05:00,17.8,78,14.0
2025-07-22T06:00,17.6,81,11.9
2025-07-22T07:00,18.4,78,13.7
2025-07-22T08:00,19.6,69,14.0
2025-07-22T09:00,21.3,62,13.3
2025-07-22T10:00,22.8,55,15.1
2025-07-22T11:00,24.0,49,14.0
2025-07-22T12:00,25.3,45,16.2
2025-07-22T13:00,26.3,42,17.3
2025-07-22T14:00,26.8,42,18.0
2025-07-22T15:00,27.2,41,18.4
2025-07-22T16:00,27.1,43,19.4
2025-07-22T17:00,25.2,47,21.6
2025-07-22T18:00,24.9,48,19.1
2025-07-22T19:00,24.5,56,18.0
2025-07-22T20:00,24.0,55,16.2
2025-07-22T21:00,22.9,59,9.0
2025-07-22T22:00,21.0,71,10.8
2025-07-22T23:00,20.3,77,3.2
2025-07-23T00:00,20.6,75,5.4
2025-07-23T01:00,20.7,69,8.3
2025-07-23T02:00,19.8,72,10.8
2025-07-23T03:00,19.3,72,6.5
2025-07-23T04:00,19.4,69,12.6
2025-07-23T05:00,17.0,82,10.2
2025-07-23T06:00,17.8,80,11.2
2025-07-23T07:00,19.0,75,12.8
2025-07-23T08:00,20.4,70,14.1
2025-07-23T09:00,21.5,65,14.5
2025-07-23T10:00,22.6,59,14.5
2025-07-23T11:00,23.6,54,14.5
2025-07-23T12:00,24.4,51,14.8
2025-07-23T13:00,25.0,48,15.6
2025-07-23T14:00,25.4,47,15.9
2025-07-23T15:00,25.6,47,16.6
2025-07-23T16:00,25.6,48,16.9
2025-07-23T17:00,25.2,51,16.3
2025-07-23T18:00,24.5,56,13.8
2025-07-23T19:00,23.5,61,10.0
2025-07-23T20:00,22.4,67,7.1
2025-07-23T21:00,21.4,72,5.8
2025-07-23T22:00,20.2,77,5.7
2025-07-23T23:00,19.4,81,6.3
2025-07-24T00:00,18.8,83,6.5
2025-07-24T01:00,18.3,84,6.6
2025-07-24T02:00,17.9,85,6.4
2025-07-24T03:00,17.2,87,6.0
2025-07-24T04:00,16.6,88,5.5
2025-07-24T05:00,16.5,88,5.0
2025-07-24T06:00,17.4,86,4.6
2025-07-24T07:00,18.8,82,3.9
2025-07-24T08:00,20.2,77,3.1
2025-07-24T09:00,21.6,70,1.8
2025-07-24T10:00,23.1,62,1.1
2025-07-24T11:00,24.5,55,1.8
2025-07-24T12:00,25.5,50,2.2
2025-07-24T13:00,26.4,47,2.5
2025-07-24T14:00,27.0,44,2.5
2025-07-24T15:00,27.5,41,2.3
2025-07-24T16:00,27.9,40,2.5
2025-07-24T17:00,27.8,40,3.7
2025-07-24T18:00,27.0,44,5.8
2025-07-24T19:00,26.0,50,8.1
2025-07-24T20:00,24.9,55,8.8
2025-07-24T21:00,23.9,60,6.2
2025-07-24T22:00,22.9,64,2.4
2025-07-24T23:00,22.0,67,0.4
2025-07-25T00:00,21.4,68,1.8
2025-07-25T01:00,20.9,68,5.5
2025-07-25T02:00,20.4,69,7.7
2025-07-25T03:00,19.8,73,6.9
2025-07-25T04:00,19.1,78,4.4
2025-07-25T05:00,19.0,81,2.2
2025-07-25T06:00,19.6,80,0.5
2025-07-25T07:00,20.9,76,1.8
2025-07-25T08:00,21.9,73,3.3
2025-07-25T09:00,22.5,72,4.8
2025-07-25T10:00,22.9,72,6.4
2025-07-25T11:00,23.3,71,6.5
2025-07-25T12:00,24.0,68,4.5
2025-07-25T13:00,24.8,64,1.9
2025-07-25T14:00,25.1,63,1.3
2025-07-25T15:00,24.8,66,1.6
2025-07-25T16:00,23.9,71,6.0
2025-07-25T17:00,23.0,76,9.2
2025-07-25T18:00,22.5,80,9.5
2025-07-25T19:00,21.9,84,8.6
2025-07-25T20:00,21.2,88,8.3
2025-07-25T21:00,20.6,91,9.0
2025-07-25T22:00,20.0,92,10.1
2025-07-25T23:00,19.5,94,10.9
2025-07-26T00:00,19.0,95,10.9
2025-07-26T01:00,18.6,97,10.7
2025-07-26T02:00,18.5,97,10.0
2025-07-26T03:00,18.5,96,9.1
2025-07-26T04:00,18.6,95,8.4
2025-07-26T05:00,18.8,93,8.6
2025-07-26T06:00,18.6,91,10.2
2025-07-26T07:00,18.5,88,12.2
2025-07-26T08:00,18.9,85,12.2
2025-07-26T09:00,20.1,83,8.9
2025-07-26T10:00,21.9,82,4.5
2025-07-26T11:00,23.4,80,4.0
2025-07-26T12:00,24.5,76,4.2
2025-07-26T13:00,25.5,71,3.3
2025-07-26T14:00,25.9,69,2.9
2025-07-26T15:00,25.8,70,2.6
2025-07-26T16:00,25.1,73,2.1
2025-07-26T17:00,24.4,77,1.8
2025-07-26T18:00,23.6,81,1.8
2025-07-26T19:00,22.6,85,2.2
2025-07-26T20:00,21.8,89,2.7
2025-07-26T21:00,21.1,92,3.2
2025-07-26T22:00,20.5,94,4.0
2025-07-26T23:00,20.0,95,4.3
