time,temperature_2m,relative_humidity_2m,windspeed_10m
2025-07-07T07:00,25.3,44,7.1
2025-07-07T08:00,26.7,43,6.4
2025-07-07T09:00,26.9,46,5.8
2025-07-07T10:00,26.4,51,6.9
2025-07-07T11:00,25.9,56,9.9
2025-07-07T12:00,25.6,59,13.9
2025-07-07T13:00,25.4,62,18.3
2025-07-07T14:00,25.1,64,21.1
2025-07-07T15:00,24.9,64,20.6
2025-07-07T16:00,24.7,62,18.4
2025-07-07T17:00,24.4,60,15.8
2025-07-07T18:00,24.1,58,13.2
2025-07-07T19:00,23.7,56,10.2
2025-07-07T20:00,23.1,56,8.7
2025-07-07T21:00,22.4,58,9.1
2025-07-07T22:00,21.5,62,10.8
2025-07-07T23:00,20.5,66,12.6
